id,id_str,screen_name,location,description,url,followers_count,friends_count,listedcount,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,has_extended_profile,name,bot
3982731976.0,642,815,0,91,28,1129,7,2,727,0,False,23557,10,505,False,False,0,478,1
8.41e+17,834,114,0,0,28,0,22,0,239,0,False,1,10,96,True,True,0,450,1
2768374981.0,355,639,0,0,28,3,0,3,583,0,False,1050,10,397,True,False,0,866,1
3304189373.0,587,912,411,858,98,505,13,49,711,0,False,5109,10,688,False,False,0,971,1
3224289024.0,549,675,0,783,28,15,0,11,706,0,False,31365,11,819,True,False,0,1045,1
7.3e+17,743,708,66,578,309,16,1,4,353,0,False,1832,10,249,False,False,0,281,1
8.2e+17,816,180,427,0,28,41,394,0,237,3,False,4,10,117,True,False,1,260,1
2602217174.0,312,225,224,57,125,549,370,12,863,12,False,4658,10,634,False,False,0,783,1
8.33e+17,828,753,0,376,28,0,60,0,756,0,False,10,10,362,True,False,0,370,1
8.25e+17,820,340,0,748,28,0,43,4,521,48,False,86,10,357,True,False,0,204,1
2215073972.0,147,890,0,168,28,102,3,21,968,0,False,10873,10,782,True,False,0,219,1
2903085721.0,451,740,0,56,193,578,17,96,631,0,False,5234,10,645,False,False,0,1036,1
8.27e+17,822,412,0,850,28,1,34,0,994,68,False,98,10,368,True,False,0,409,1
2529023630.0,269,599,29,55,77,1456,12,122,1032,4,False,72096,10,627,False,False,0,849,1
4629779173.0,663,855,0,272,28,0,1,0,916,0,False,0,10,63,False,False,0,323,1
8.41e+17,834,803,204,0,28,14,253,0,218,2,False,0,10,308,True,False,0,488,1
